timestep,reward,progress_reward,posture_reward,energy_penalty,terminal_reward,x_position,angle,y_position,velocity_x,velocity_y
19,-0.41162219643592834,-0.03361241022745768,-0.32033681869506836,-0.05767297,0,4.569275379180908,-1.454337477684021,5.640678882598877,-0.28455352783203125,-2.099343776702881
20,-0.4192432165145874,-0.041495323181152344,-0.3199058771133423,-0.05784201,0,4.559699535369873,-1.5183186531066895,5.594345569610596,-0.37682464718818665,-2.305187702178955
21,-0.4234934449195862,-0.046886285146077476,-0.31452715396881104,-0.062079985,0,4.548879623413086,-1.5812240839004517,5.542981147766113,-0.4428616166114807,-2.5388450622558594
22,-0.42579254508018494,-0.053333123524983726,-0.3102457523345947,-0.06221365,0,4.536571979522705,-1.6432732343673706,5.487228870391846,-0.515781044960022,-2.7662408351898193
23,-0.4282931685447693,-0.06001138687133789,-0.30594468116760254,-0.062337086,0,4.522723197937012,-1.7044621706008911,5.427243709564209,-0.5920810103416443,-2.986074447631836
24,-0.4309280812740326,-0.06684048970540364,-0.30164003372192383,-0.062447548,0,4.507298469543457,-1.7647901773452759,5.363187313079834,-0.6709926724433899,-3.1977925300598145
25,-0.4336538314819336,-0.07376464207967122,-0.2973443269729614,-0.06254485,0,4.490275859832764,-1.8242590427398682,5.295230865478516,-0.7516494989395142,-3.4008986949920654
26,-0.4363964796066284,-0.08069292704264323,-0.29307425022125244,-0.062629305,0,4.471654415130615,-1.8828738927841187,5.223552703857422,-0.8330773711204529,-3.594978094100952
27,-0.43906643986701965,-0.08752202987670898,-0.28883039951324463,-0.06271402,0,4.4514570236206055,-1.9406399726867676,5.148338317871094,-0.9142413139343262,-3.7797482013702393
28,-0.44159212708473206,-0.09417136510213216,-0.2846252918243408,-0.06279546,0,4.429725170135498,-1.9975650310516357,5.069772243499756,-0.9940192699432373,-3.9550225734710693
29,-0.44386470317840576,-0.10051902135213216,-0.28048038482666016,-0.06286527,0,4.406528472900391,-2.0536611080169678,4.988038539886475,-1.0711852312088013,-4.120730876922607
30,-0.4458330571651459,-0.1064740816752116,-0.27643442153930664,-0.062924564,0,4.381957530975342,-2.108947992324829,4.903318881988525,-1.1444385051727295,-4.276971340179443
31,-0.4473830759525299,-0.11190223693847656,-0.2725064754486084,-0.06297436,0,4.356133937835693,-2.163449287414551,4.815787315368652,-1.2124371528625488,-4.424032688140869
32,-0.448437362909317,-0.1167001724243164,-0.2687215805053711,-0.06301561,0,4.329203128814697,-2.217193603515625,4.7256035804748535,-1.2738182544708252,-4.5624213218688965
33,-0.4489193856716156,-0.1207583745320638,-0.26511192321777344,-0.063049085,0,4.30133581161499,-2.2702159881591797,4.632914066314697,-1.3272379636764526,-4.692859649658203
34,-0.45032110810279846,-0.12345695495605469,-0.26378870010375977,-0.063075446,0,4.27284574508667,-2.3229737281799316,4.537801265716553,-1.3649173974990845,-4.817646503448486
35,-0.49006086587905884,-0.10940615336100261,-0.31749486923217773,-0.06315985,0,4.247598171234131,-2.386472702026367,4.4390764236450195,-1.1923308372497559,-4.989536762237549
36,-0.5246327519416809,-0.10542853673299153,-0.351182222366333,-0.068022005,0,4.223268508911133,-2.456709146499634,4.336063385009766,-1.141794204711914,-5.202352523803711
37,-0.5435555577278137,-0.10403585433959961,-0.37261128425598145,-0.066908404,0,4.199260234832764,-2.53123140335083,4.228893280029297,-1.1243873834609985,-5.416731834411621
38,-0.548260509967804,-0.10546366373697917,-0.37708520889282227,-0.06571166,0,4.174922466278076,-2.6066484451293945,4.118173599243164,-1.144551157951355,-5.600677490234375
39,-0.5326846837997437,-0.10860443115234375,-0.35837292671203613,-0.065707326,0,4.14985990524292,-2.6783230304718018,4.004622936248779,-1.2017638683319092,-5.741678714752197
40,-0.5233803391456604,-0.11430946985880534,-0.3419983386993408,-0.067072526,0,4.123480796813965,-2.74672269821167,3.888378381729126,-1.2650426626205444,-5.88327169418335
41,-0.5129736661911011,-0.11774158477783203,-0.32864809036254883,-0.06658396,0,4.096309661865234,-2.8124523162841797,3.7694876194000244,-1.313666582107544,-6.0193772315979
42,-100.0,-0.0535273551940918,-0.3765594959259033,-0.06623836,-100,4.083957195281982,-2.8877642154693604,3.6889524459838867,1.1356335878372192,-0.3997932970523834
