Using device: cpu
Episode    1 | step      90 | score   -99.7 | avg-100   -99.7
Episode  229 | step   41836 | score  -120.8 | avg-100  -108.1
Episode  230 | step   42001 | score  -104.9 | avg-100  -108.0
Episode  231 | step   42123 | score  -100.8 | avg-100  -107.8
Episode  232 | step   42233 | score  -102.8 | avg-100  -107.4
Episode  233 | step   42374 | score   -97.8 | avg-100  -106.5
Episode  234 | step   42467 | score   -98.9 | avg-100  -106.4
Episode  235 | step   42545 | score  -102.1 | avg-100  -106.0
Episode  236 | step   42625 | score   -99.9 | avg-100  -105.6
Episode  237 | step   42714 | score   -97.6 | avg-100  -104.7
Episode  238 | step   42801 | score  -100.3 | avg-100  -104.7
Episode  239 | step   42900 | score  -100.5 | avg-100  -104.6
Episode  240 | step   43015 | avg-100  -104.6 | eval  -101.8
Episode  241 | step   43095 | score  -102.9 | avg-100  -104.6
Episode  242 | step   43184 | score  -101.3 | avg-100  -104.5
Episode  243 | step   43337 | score  -103.8 | avg-100  -104.5
Episode  244 | step   43417 | score  -100.7 | avg-100  -104.5
Episode  245 | step   43512 | score   -99.6 | avg-100  -104.4
Episode  246 | step   43605 | score   -97.9 | avg-100  -104.3
Episode  247 | step   44021 | score  -147.3 | avg-100  -104.8
Episode  248 | step   44181 | score  -105.3 | avg-100  -104.8
Episode  249 | step   44306 | score   -99.5 | avg-100  -104.7
Episode  250 | step   44498 | score  -138.4 | avg-100  -105.0
Episode  251 | step   44607 | score  -123.7 | avg-100  -105.2
Episode  252 | step   44763 | score   -99.7 | avg-100  -105.2
Episode  253 | step   45138 | score  -106.8 | avg-100  -105.2
Episode  254 | step   45220 | score   -98.4 | avg-100  -105.2
Episode  255 | step   45350 | score  -115.3 | avg-100  -105.2
Episode  256 | step   46950 | score  -143.8 | avg-100  -105.6
Episode  257 | step   47085 | score  -101.4 | avg-100  -105.5
Episode  258 | step   48685 | score  -148.7 | avg-100  -105.9
Episode  259 | step   49201 | score  -162.7 | avg-100  -106.5
